127.0.0.1 - - [18/Sep/2020:01:44:42 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:44:43 +0700] "GET /JSP-Servlet-JDBC-Initial/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:44:43 +0700] "GET /JSP-Servlet-JDBC-Initial/trang-chu HTTP/1.1" 200 8337
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:44:43 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:44:46 +0700] "GET /JSP-Servlet-JDBC-Initial/dang-nhap?action=login HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:44:46 +0700] "GET /JSP-Servlet-JDBC-Initial/template/login/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:44:53 +0700] "POST /JSP-Servlet-JDBC-Initial/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:44:53 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-home HTTP/1.1" 200 8032
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:44:53 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:44:54 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:44:58 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?page=1&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 500 1348
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:45:37 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?page=1&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 500 1348
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:50:31 +0700] "POST /JSP-Servlet-JDBC-Initial/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:50:32 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-home HTTP/1.1" 200 8042
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:50:32 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [18/Sep/2020:01:50:32 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
